sdate,isalive,islock,vendor,gci,cellname,isp,nettype,gnodebid,cellid,tac,share,shareBandwidth,Bandwidth,nref,pci,arfcnDL,band
2022-08-10 23:24:48,1,1,爱立信,2344617+1026,CZ_CX_DCCXdachucun2100MTTERR-3-share,联通,SA,2344617,1026,2344194,0,0,20,428910,548,427980,n1
2022-08-10 23:24:48,1,1,爱立信,2344617+1025,CZ_CX_DCCXdachucun2100MTTERR-2-share,联通,SA,2344617,1025,2344194,0,0,20,428910,547,427980,n1
2022-08-10 23:24:48,1,1,爱立信,2344617+1024,CZ_CX_DCCXdachucun2100MTTERR-1-share,联通,SA,2344617,1024,2344194,0,0,20,428910,546,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344504+1025,CZ_CX_DLXchenxinzhuangbei2100MTTERR-2-share,联通,SA,2344504,1025,2344194,1,20,20,428910,117,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344504+1024,CZ_CX_DLXchenxinzhuangbei2100MTTERR-1-share,联通,SA,2344504,1024,2344194,1,20,20,428910,118,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344504+1026,CZ_CX_DLXchenxinzhuangbei2100MTTERR-3-share,联通,SA,2344504,1026,2344194,1,20,20,428910,119,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344608+1024,CZ_CX_ZFTXgaojiatuncunxi2100MTTERR-1-share,联通,SA,2344608,1024,2344194,1,20,20,428910,174,427980,n1
2022-08-10 23:24:48,1,1,爱立信,2350420+1025,CZ_QX_MCZnongchangsanfencunxi2100MTTERR-2-share,联通,SA,2350420,1025,2350081,0,0,20,428910,7,427980,n1
2022-08-10 23:24:48,1,1,爱立信,2350420+1024,CZ_QX_MCZnongchangsanfencunxi2100MTTERR-1-share,联通,SA,2350420,1024,2350081,0,0,20,428910,6,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304004+1024,BDZZ_NanCai_YD2100MERR-share_1,联通,SA,2304004,1024,2303749,1,20,20,428910,315,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304004+1025,BDZZ_NanCai_YD2100MERR-share_2,联通,SA,2304004,1025,2303749,1,20,20,428910,316,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304004+1026,BDZZ_NanCai_YD2100MERR-share_3,联通,SA,2304004,1026,2303749,1,20,20,428910,317,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344655+1025,CZ_CX_CEZZduoliangzhuangcundong2100MTTERR-2-share,联通,SA,2344655,1025,2344193,1,20,20,428910,484,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344655+1024,CZ_CX_CEZZduoliangzhuangcundong2100MTTERR-1-share,联通,SA,2344655,1024,2344193,1,20,20,428910,483,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301460+258,BDBG_SanYilvGuan3500MERR-share_3,联通,SA,2301460,258,2301440,1,100,100,633984,197,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301460+256,BDBG_SanYilvGuan3500MERR-share_1,联通,SA,2301460,256,2301440,1,100,100,633984,195,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301460+257,BDBG_SanYilvGuan3500MERR-share_2,联通,SA,2301460,257,2301440,1,100,100,633984,196,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303863+1025,BDZZ_XiaoYiHeZhuang2100MERR-share_2,联通,SA,2303863,1025,2303749,1,20,20,428910,286,427980,n1
